angDist,#,rgeo,rpgeo
0.014858,755,20289.40040000,17024.22070000
0.186648,757,2929.11548000,2920.96313000
0.042291,759,642.40844700,638.18719500
0.078701,760,657.80554200,624.76080300
0.087111,762,988.63928200,972.88421600
0.137922,763,374.05105600,371.22152700
0.198937,764,422.89801000,419.77005000
0.075391,765,1317.64392000,1319.82788000
0.083676,767,2709.98169000,2640.30688000
0.094491,768,2915.77124000,2942.79395000
0.086639,769,944.05188000,942.51782200
0.050297,771,907.58892800,913.43328900
0.024132,772,341.68835400,339.14105200
0.059901,773,1559.36316000,1575.75244000
0.069404,774,1099.43091000,1091.62146000
0.205635,779,18018.74410000,18232.20310000
0.115310,780,17782.28910000,16285.71390000
0.160224,781,29151.31250000,20866.75780000
0.108420,782,21428.08200000,17634.59380000
0.117547,783,15872.08980000,17934.90620000
0.044059,784,6496.93799000,8048.01758000
0.174275,786,20949.21480000,16221.81840000
0.135093,788,17943.69530000,14409.06640000
0.159976,791,21834.85350000,3277.83838000
0.182441,792,19760.49800000,17118.83400000
0.109381,793,12915.70900000,18287.42190000
0.158063,794,18657.74220000,12020.89550000
0.300837,795,3905.67456000,3702.08472000
0.139860,796,23462.70120000,27564.40820000
0.057791,797,355.69836400,357.90676900
0.137188,798,9865.77344000,3022.28223000
0.066755,799,11194.06050000,11933.96290000
0.090687,800,19954.29490000,13599.01460000
0.093903,801,3091.50635000,4021.01880000
0.160138,802,14134.62890000,10717.34860000
0.088998,803,20997.87300000,22212.67770000
0.117233,805,14988.11040000,10995.38090000
0.133535,806,5479.63379000,7089.33496000
0.168612,807,15720.51070000,8905.09961000
0.089640,808,13557.69340000,13709.69040000
0.071784,809,5990.22168000,7609.08447000
0.078280,810,19556.58590000,13693.94140000
