angDist,#,main_id,main_type,other_types,sp_type
0.029501,1487,HD 102189,Be*,Be*|Em*|*  |IR,B3/7
0.076698,1488,HD 102352,Be*,V* |*  |Be*|Em*|*  |UV |IR,B(2)(V)ne
0.057920,1489,HD 102369,Be*,Be*|Em*|*  |IR,B8/9II/III
0.011907,1490,HD 102383,Be*,Be*|Em*|*  |IR,B5/7Vne
0.035870,1491,HD 102423,Be*,Be*|Em*|*  |IR,B9.5/A0V
0.014552,1492,HD 102567,Be*,Er*|HXB|*  |*  |Be*|Psr|Em*|V* |HXB|X  |gam|IR,O/Bne
0.056040,1493,HD 102742,Be*,Be*|Em*|*  |UV |IR,B3Ve
0.091713,1494,* j Cen,Be*,Be*|Em*|IR |*  |UV |V*,B3V
0.018737,1495,* bet Hya,RotV*alf2CVn,** |*  |V* |UV |IR |a2*,kB8hB8HeA0VSi
0.020058,1495,* bet Hya A,PM*,*  |** |PM*,
0.644294,1495,* bet Hya B,PM*,*  |PM*|**,
0.024346,1496,* gam UMa,Em*,X  |** |*  |V* |Em*|IR |UV |PM*,A0Ve+K2V
0.034889,1497,HD 307350,Be*,*  |Be*|Em*|*  |IR,B2IV:ne
0.045428,1498,HD 103514,Be*,Be*|Em*|*  |IR,B5/7
0.022998,1499,HD 103574,Be*,V* |Be*|Em*|*  |UV |IR,B2V
0.037893,1500,HD 103715,Be*,V* |IR |*  |Be*|Em*|*,B(0/3)ne
0.018150,1501,HD 103872,Be*,*  |Be*|Em*|UV |*  |IR,B5e
0.046839,1502,HD 104011,Be*,*  |Be*|Em*|*  |IR,B3/5e
0.010543,1503,HD 104552,Be*,V* |*  |Be*|Em*|UV |*  |IR,B3/5(e)
0.052801,1504,HD 104582,Be*,Be*|Be*|Em*|*  |IR,B8/B9Ve
0.030887,1505,HD 104722,Be*,Er*|V* |*  |Be*|IR,B2Vne
0.014992,1506,HD 105027,Be*,** |Be*|Em*|*  |IR,B9.5V
0.013257,1507,V* AI Cru,EB*,EB*|*  |Al*|V* |*iC|IR |SB*,B4/5
0.182128,1508,CD-60  3979,Em*,Em*|*  |*iC,Be
0.049998,1509,HD 105382,Be*,Be*|V* |Er*|IR |** |*  |Em*,B5V
0.022479,1510,* del Cen,Be*,Be*|*  |V* |** |UV |IR |Be*|Em*,B2Vne
0.012154,1511,HD 105521,Be*,Be*|Be*|*  |Be*|Em*|UV |V* |IR,B3IVe
0.036424,1512,HD 105675,Be*,*  |Be*|Em*|*  |UV |IR,Be
0.070702,1513,HD 105753,Be*,*  |Be*|Em*|*  |UV |IR,B2/3e
