#,Be star,Category,RA,DEC,V,Type,vsini,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,ra,dec
41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0.2714,-1.229,-0.551,0.0,0.0,14.231631,14.589518,13.684862,,5.714133647937981e-15,12.515999794006348,0.013000000268220901,12.428000450134277,0.008999999612569809,11.348999977111816,0.1860000044107437,8.75,,13.011,0.021,12.809,0.036,12.676,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.923083333333333,62.700919444444445
42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0.6672,0.257,-1.737,0.336,0.0529,20.26839,20.876583,20.704355,,2.1991091921869405e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.058291666666667,-73.1608
43,RX J0048.5-7302,Classical,00 48 34.50,-73 02 30.01,14.84,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52922.0,0.00111,0.000252,-0.000252,0.499,0.336,5.89e-05,-5.89e-05,0.000308,0.000132,-0.000132,0.000648,0.000188,-0.000188,5.79e-09,9.325e-14,9.57e-14,0.7183,0.78373,1.0,12.14375,-73.04166944444444
44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0.2636,-0.727,-0.134,0.081,2.03,14.858552,15.329682,14.195559,,3.2076132137641885e-15,12.854000091552734,0.010999999940395355,12.777999877929688,0.009999999776482582,12.46399974822998,,9.119000434875488,,13.326,0.032,12.97,0.031,12.88,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.178875,64.73641944444445
45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0.1572,-1.672,0.252,0.093,1.17,15.820762,16.522406,14.984367,,1.3222025605888117e-15,13.052000045776367,0.010999999940395355,12.920000076293945,0.008999999612569809,12.404999732971191,0.4729999899864197,8.711000442504883,,13.923,0.031,13.576,0.037,13.424,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.208833333333333,64.42603055555556
46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,0.2059,0.305,-0.761,0.35,181.0,10.314633,10.229184,10.46688,,2.1074127046199277e-13,10.755000114440918,0.014000000432133675,10.744999885559082,0.012000000104308128,10.652000427246094,0.08699999749660492,9.27400016784668,,10.603,0.022,10.617,0.022,10.583,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.255458333333333,-56.09704166666667
47,RX J0049.0-7250,Classical,00 49 05.90,-72 50 54.96,16.92,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.274583333333334,-72.8486
48,RX J0049.2-7311,Classical,00 49 13.99,-73 11 35.16,16.51,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.308291666666667,-73.1931
49,EM* MWC 677,Classical,00 49 25.01,63 52 05.16,10.71,B2Vpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.354208333333334,63.8681
50,RX J0049.5-7310,Classical,00 49 29.59,-73 10 55.92,16.51,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26395.0,0.0129,0.000523,-0.000523,0.707,0.532,0.000329,-0.000114,0.00273,0.000234,-0.000234,0.00936,0.000432,-0.000432,2.48e-06,1.179e-12,1.31e-12,0.3845,0.14882,-0.15587,12.373291666666667,-73.1822
