angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra,pmdec,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val
0.46243,94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0,13.5082469,-72.41272056,4689005810699270000,,,,3.43634E+02,19.348125,,,,,,,,,
0.239346,95,Cl* NGC 330 ELS 049746,Classical,00 54 04.69,-72 21 06.30,16.49,B2IIIe,438,0,13.51943642,-72.35180833,4689009143649050000,-0.0567,0.783,-1.309,5.09435E+03,16.420643,4.19476E+03,16.29462,2.27020E+03,16.37176,,9451,,,
0.352399,96,Cl* NGC 330 ELS 051315,Classical,00 54 04.82,-72 18 50.70,17.96,B5Ve,139,0,13.51991613,-72.31416701,4689010174385370000,-0.1504,0.912,-1.044,1.26605E+03,17.932241,,,,,,,,,
0.249457,97,[MA93] 733,Classical,00 54 05.99,-72 13 51.60,15.78,B2IVe,234,0,13.52479054,-72.23104668,4689059755529210000,0.0699,0.701,-1.399,9.43279E+03,15.751765,7.71233E+03,15.633425,3.77131E+03,15.820688,,8598.67,,,
0.309506,98,Cl* NGC 330 ELS 026689,Classical,00 54 07.97,-72 14 03.90,17.52,B2Ve,397,0,13.5330204,-72.23448072,4689059755528970000,0.0541,1.085,-1.217,1.92788E+03,17.475664,1.60096E+03,17.340439,9.04614E+02,17.370762,,,,,
0.245871,99,Cl* NGC 330 ELS 026182,Classical,00 54 08.94,-72 14 42.50,17.98,B3IVe,360,0,13.53708516,-72.24518512,4689058999614750000,0.0039,1.017,-1.594,1.29330E+03,17.909117,1.29614E+03,17.569761,8.13420E+02,17.486134,,,,,
0.262798,100,2MASS J00541254-7214478,Classical,00 54 12.37,-72 14 48.00,16.53,B2IVe,146,0,13.55135568,-72.24671263,4689059033974490000,-0.028,0.74,-1.261,4.74078E+03,16.498741,4.10137E+03,16.319065,2.57827E+03,16.233599,,8583,,,
0.355925,101,Cl* NGC 330 ELS 081260,Classical,00 54 13.12,-72 14 35.60,17.77,B3Ve,227,0,13.55453855,-72.24331304,4689059033974480000,,,,1.16168E+03,18.025654,1.99081E+03,17.103813,1.07218E+03,17.186255,,,,,
0.279294,102,Cl* NGC 330 ELS 005045,Classical,00 54 15.01,-72 15 08.80,15.8,B2IVe,226,0,13.56237274,-72.25250247,4689058965255020000,-0.0155,0.817,-1.432,9.03879E+03,15.79809,7.44970E+03,15.671042,3.54411E+03,15.888153,,8868.67,,,
0.184399,103,Cl* NGC 330 ELS 014271,Classical,00 54 18.13,-72 27 37.15,15.56,B0IIIe,499,0,13.57538622,-72.46034016,4689004642523680000,-0.0483,0.735,-1.149,1.25214E+04,15.444234,9.70785E+03,15.383581,5.91886E+03,15.331326,,9557,,,
0.194606,104,Cl* NGC 330 ELS 045353,Classical,00 54 22.37,-72 27 07.62,15.53,B2IIIe,319,0,13.59304541,-72.45213923,4689004745602860000,-0.0291,0.537,-1.028,1.32338E+04,15.384153,1.04850E+04,15.299972,5.87219E+03,15.33992,,9365,,,
0.233121,105,Cl* NGC 330 ELS 080910,Classical,00 54 24.27,-72 13 49.41,16.74,B2IVe,316,0,13.60098214,-72.23043955,4689059132762050000,0.0429,0.739,-1.384,4.20562E+03,16.628792,3.37574E+03,16.530466,1.83056E+03,16.605457,,8728,,,
0.232377,106,Cl* NGC 330 ELS 025718,Classical,00 54 27.14,-72 15 15.90,16.87,B2IIIe,264,0,13.61292453,-72.25445937,4689058862175800000,0.0654,0.797,-1.61,3.73911E+03,16.756447,3.04017E+03,16.644142,1.61880E+03,16.738937,,8561.33,,,
0.207905,107,Cl* NGC 330 ELS 064745,Classical,00 54 28.85,-72 27 38.11,15.691,B0IVe,447,0,13.62002153,-72.460599,4689004676883410000,0.0216,0.736,-1.36,1.25894E+04,15.438353,9.71999E+03,15.382224,5.97633E+03,15.320834,,9551.25,,,
0.212633,108,2MASS J00543292-7227418,Classical,00 54 32.96,-72 27 41.85,15.42,B2IIIe,213,0,13.6371382,-72.46163057,4689004470724980000,-0.0179,0.763,-1.189,1.38657E+04,15.333508,1.07934E+04,15.26849,6.23659E+03,15.274552,,9531,,,
0.342873,110,Cl* NGC 330 ELS 041410,Classical,00 54 33.31,-72 32 11.70,16.37,B1IIIe,496,0,13.6384938,-72.53661621,4688992273014020000,-0.024,0.754,-1.162,6.09379E+03,16.226147,4.66470E+03,16.179329,3.01580E+03,16.063414,,9421,,,
0.076942,112,IPHAS J005436.84+630549.8,Classical,00 54 36.84,63 05 49.81,,B2-3V,,0,13.65353284,63.09718481,523707906696257000,0.1638,-2.328,0.324,1.78147E+04,15.06142,8.17470E+03,15.57021,1.45223E+04,14.356831,,4907.99,,,
0.2335,113,[MA93] 785,Classical,00 54 40.79,-72 27 52.50,16.02,B2IIIe,368,0,13.66974742,-72.46459632,4689005948193730000,-0.0886,0.715,-1.175,7.82575E+03,15.95455,6.22573E+03,15.865913,3.67669E+03,15.848278,,9593,,,
