angDist,angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,ra,dec,main_type,source_id,duplicated_source,a_g_val,id,RA_ICRS,DE_ICRS,rest,b_rest,B_rest,rlen,ResFlag,ModFlag
0.197025,0.60683,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,13.473335,-72.367111,Be*,4.6890103E18,0,,4689009109289381632,13.47351435864,-72.36710440772,4489.258850677790000,3564.407281919360000,5729.773470276730000,583.122111411429,1,1
0.240796,0.224005,91,Cl* NGC 330 ELS 038007,Classical,00 53 54.17,-72 19 55.42,17.27,B3Ve,262,0,13.47570833,-72.33206111,Be*,4.6890103E18,0,,4689010140081411072,13.47561049345,-72.33212104576,3254.851676984460000,2592.559511081470000,4199.373366868520000,582.697191645420,1,1
0.836090,0.815379,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,13.47992083,-72.4458,HMXB,4.6890103E18,0,,4689005432797634944,13.48049289808,-72.44595546365,8356.617282474370000,7140.207612166050000,9856.493044237390000,584.045531514971,1,1
0.023501,5.0E-6,93,Cl* NGC 330 ELS 003315,Classical,00 53 58.25,-72 25 02.60,16.06,B2IIIe,302,0,13.49260946,-72.41741271,Be*,4.6890103E18,0,,4689005707675450240,13.49261947527,-72.41741849481,6988.925419834750000,5824.134370710340000,8452.721429615240000,583.676298820909,1,1
0.162429,0.139628,94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0,13.507875,-72.41266667,Be*,4.6890103E18,0,,4689005810699274624,13.50775280873,-72.41269260381,468.460404782572000,425.734550796607000,520.504945846478000,583.582855851880,1,1
0.162429,0.448659,94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0,13.507875,-72.41266667,Be*,4.6890103E18,0,,4689005810699274624,13.50775280873,-72.41269260381,468.460404782572000,425.734550796607000,520.504945846478000,583.582855851880,1,1
0.099748,0.108793,95,Cl* NGC 330 ELS 049746,Classical,00 54 04.69,-72 21 06.30,16.49,B2IIIe,438,0,13.519536,-72.351807,Be*,4.6890103E18,0,,4689009143649055360,13.51944754042,-72.35181396335,5450.091152733970000,4416.874889330140000,6795.908448234280000,582.826095850485,1,1
0.359484,0.352408,96,Cl* NGC 330 ELS 051315,Classical,00 54 04.82,-72 18 50.70,17.96,B5Ve,139,0,13.52008333,-72.31408333,Be*,4.6890103E18,0,,4689010174385379584,13.51992905272,-72.31417150379,3801.108620874150000,2906.437345361220000,5028.536313111340000,582.372486271828,1,1
0.024269,1.4E-5,97,[MA93] 733,Classical,00 54 05.99,-72 13 51.60,15.78,B2IVe,234,0,13.52479054,-72.23104668,Be*,4.6890598E18,0,,4689059755529214336,13.52480042241,-72.23105270900,5184.111777846470000,4323.841298184850000,6310.451683533340000,581.356059500346,1,1
0.313333,0.309495,98,Cl* NGC 330 ELS 026689,Classical,00 54 07.97,-72 14 03.90,17.52,B2Ve,397,0,13.53320833,-72.23441667,Be*,4.6890598E18,0,,4689059755528974208,13.53303571745,-72.23448596299,3825.694455528210000,3014.030844778260000,4950.777225438810000,581.377499205400,1,1
0.252651,0.245868,99,Cl* NGC 330 ELS 026182,Classical,00 54 08.94,-72 14 42.50,17.98,B3IVe,360,0,13.53725,-72.24513889,Be*,4.6890598E18,0,,4689058999614757376,13.53709951577,-72.24519198927,3392.797568955540000,2588.412203479730000,4531.249335610840000,581.497282838659,1,1
0.267130,0.262793,100,2MASS J00541254-7214478,Classical,00 54 12.37,-72 14 48.00,16.53,B2IVe,146,0,13.55154167,-72.24666667,Be*,4.6890598E18,0,,4689059033974496000,13.55136613478,-72.24671806300,5312.726189492610000,4315.379488729650000,6617.242614873930000,581.480823848426,1,1
0.025567,1.7E-5,102,Cl* NGC 330 ELS 005045,Classical,00 54 15.01,-72 15 08.80,15.8,B2IVe,226,0,13.56237274,-72.25250247,Be*,4.6890598E18,0,,4689058965255025280,13.56238428197,-72.25250863930,6288.759856020920000,5218.760292159210000,7657.324908799920000,581.523976149657,1,1
